序号,画面标识,结果,位置,置信度
192,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,531",0.74
193,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,44,526",0.72
194,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,531",0.74
195,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,44,526",0.72
196,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,531",0.75
197,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,44,526",0.72
198,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,531",0.72
199,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,44,526",0.72
200,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,531",0.72
201,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,44,526",0.72
202,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,396,45,526",0.74
203,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,531",0.71
204,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,396,45,526",0.75
205,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,532",0.72
206,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,396,45,526",0.75
207,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,532",0.72
208,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.74
209,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,532",0.68
210,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,401,32,496",0.28
211,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.74
212,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,532",0.68
213,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,401,32,496",0.28
214,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.74
215,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,532",0.68
216,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,401,32,496",0.28
217,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.72
218,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,531",0.68
219,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,401,32,496",0.30
220,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.72
221,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,531",0.68
222,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,401,32,496",0.30
223,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,394,45,526",0.72
224,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,531",0.66
225,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,401,32,496",0.31
226,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,394,45,526",0.72
227,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,531",0.66
228,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,401,32,496",0.31
229,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.73
230,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,531",0.66
231,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,401,32,496",0.28
232,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.73
233,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,531",0.66
234,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,401,32,496",0.28
235,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.73
236,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,531",0.66
237,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,401,32,496",0.28
238,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,394,45,526",0.73
239,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,531",0.63
240,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,401,33,496",0.28
241,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.73
242,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,531",0.64
243,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,401,32,496",0.28
244,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,小组讨论,"600,346,640,497",0.26
245,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.73
246,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,531",0.64
247,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,401,32,496",0.28
248,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,小组讨论,"600,346,640,497",0.26
249,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.73
250,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,531",0.61
251,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,小组讨论,"600,348,640,497",0.28
252,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,401,32,496",0.27
253,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"126,479,219,639",0.27
254,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.73
255,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,531",0.61
256,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,小组讨论,"600,348,640,497",0.28
257,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,401,32,496",0.27
258,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"126,479,219,639",0.27
259,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.72
260,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,532",0.56
261,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,小组讨论,"600,361,640,497",0.27
262,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,401,32,495",0.27
263,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.72
264,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,532",0.57
265,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,小组讨论,"600,361,640,497",0.27
